glong	glat	vcmb
307.58658	-46.76553	4103.00000
3.07600	-80.79788	5839.00000
116.52355	-14.17090	1517.00000
345.59155	-78.69645	8645.00000
72.04838	-78.64066	7731.00000
108.98081	-48.95979	417.00000
319.89914	-68.06588	12553.00000
304.28390	-33.97130	4588.00000
111.82232	-39.30096	5839.00000
113.10975	-33.61568	6813.00000
97.21090	-68.44620	10827.00000
116.55710	-14.26848	4847.00000
116.58256	-14.16769	4515.00000
113.16574	-33.65533	6908.00000
72.24887	-78.72133	7751.00000
122.60642	25.48891	1936.00000
97.55245	-68.20037	5359.00000
113.18354	-33.72248	6491.00000
97.51829	-68.33455	5021.00000
116.61919	-14.16391	5092.00000
332.06911	-75.36108	12288.00000
336.94168	-76.93639	8123.00000
311.09741	-56.21371	4427.00000
97.51036	-68.38667	5263.00000
313.37573	-60.49629	10651.00000
51.17286	-81.22859	7289.00000
103.67209	-61.24639	11343.00000
303.48426	-30.09574	5068.00000
112.82947	-35.82284	7030.00000
97.75368	-68.33245	10744.00000
325.09279	-72.23562	3046.00000
20.66065	-81.82870	13220.00000
349.11210	-79.54747	6442.00000
110.03647	-46.89298	5081.00000
118.48846	-1.94922	4304.00000
344.78846	-78.84312	6439.00000
16.23271	-81.73203	7114.00000
97.99481	-68.20266	4929.00000
51.25074	-81.27244	7414.00000
51.56730	-81.25584	7342.00000
324.29777	-71.80875	11059.00000
113.95221	-30.73859	6337.00000
106.75810	-55.84374	12965.00000
98.84401	-67.51059	7440.00000
97.64680	-68.61643	6447.00000
312.49165	-59.20711	9643.00000
311.58562	-57.53553	9232.00000
51.61608	-81.31266	7258.00000
111.18384	-43.27480	5227.00000
110.83055	-44.69759	5107.00000
309.36715	-52.57597	12662.00000
111.58525	-42.13951	7215.00000
113.28288	-34.75752	7075.00000
113.72486	-32.56567	6323.00000
96.91982	-69.21153	5974.00000
353.37113	-80.28584	7126.00000
127.31808	-15.93126	5112.00000
110.59656	-45.92813	3817.00000
111.58960	-42.31284	7215.00000
110.04035	-47.90615	5131.00000
103.85950	-61.85489	11458.00000
108.91944	-51.57938	4893.00000
312.92131	-60.45059	10405.00000
346.40249	-79.44948	7172.00000
113.76351	-33.27066	7026.00000
99.54412	-67.58895	7570.00000
114.03386	-31.89221	6021.00000
99.54644	-67.58388	7793.00000
110.85334	-45.86080	11760.00000
113.96424	-32.33816	4544.00000
115.10106	-26.14274	10294.00000
318.40850	-67.80162	10431.00000
105.24286	-60.13614	11886.00000
116.92825	-14.54452	4120.00000
95.00693	-71.51562	4863.00000
339.65749	-78.26841	7760.00000
105.30573	-60.06559	13063.00000
105.76590	-59.24754	3789.00000
107.88897	-54.77900	3619.00000
109.80719	-49.63712	790.00000
113.99312	-32.65060	6576.00000
100.74808	-66.63866	3614.00000
104.46872	-61.71625	9514.00000
113.67264	-34.40198	8765.00000
113.69160	-34.36219	4136.00000
112.57152	-39.65431	5030.00000
114.11170	-32.33981	6608.00000
104.05653	-62.56640	5317.00000
50.79827	-81.78029	7375.00000
116.15552	-20.25799	4781.00000
90.76657	-74.17327	6123.00000
99.91769	-67.69646	7648.00000
101.44352	-66.03930	5745.00000
114.92645	-27.83727	4369.00000
107.92541	-55.15109	5332.00000
111.45237	-44.68100	5546.00000
115.19230	-26.47302	11512.00000
92.98050	-73.10568	6801.00000
102.17475	-65.19488	10620.00000
96.78104	-70.70060	6441.00000
104.19245	-62.60630	5066.00000
34.85811	-82.38788	5831.00000
111.64588	-44.04013	5106.00000
96.90315	-70.68459	6355.00000
102.70747	-64.76026	6054.00000
101.72022	-66.09465	5660.00000
114.29987	-32.09890	4514.00000
113.24941	-37.56924	5715.00000
307.59552	-48.46441	6420.00000
97.50048	-70.47425	6655.00000
318.17739	-68.19560	11246.00000
80.76488	-78.02976	7364.00000
113.31300	-37.68327	5470.00000
114.26317	-32.83823	6539.00000
310.92288	-57.52309	8710.00000
347.68372	-80.15070	7146.00000
111.95160	-43.86913	5184.00000
334.39081	-77.30646	6734.00000
110.57813	-48.88060	3786.00000
114.43800	-32.26050	6326.00000
112.26156	-42.79132	5081.00000
114.45514	-32.25402	5419.00000
321.28730	-71.08424	12606.00000
114.45784	-32.28668	6362.00000
114.47343	-32.24852	6866.00000
111.91326	-44.33003	10869.00000
112.08567	-43.65897	4885.00000
114.47501	-32.26530	6376.00000
117.33298	-13.78043	5013.00000
100.90875	-67.72688	6181.00000
117.51190	-12.52550	5034.00000
114.49114	-32.29015	6904.00000
318.18040	-68.48590	1288.00000
100.91102	-67.75817	6081.00000
114.51558	-32.29776	6400.00000
339.29193	-78.76081	3660.00000
88.43511	-75.94831	7432.00000
339.25749	-78.75836	3592.00000
110.02795	-51.45963	5021.00000
96.77270	-71.55805	7737.00000
93.83591	-73.41862	9971.00000
98.97767	-69.80007	6423.00000
319.97926	-71.11220	5832.00000
96.76315	-71.57325	7938.00000
103.48124	-64.91255	5844.00000
61.17733	-81.51043	7011.00000
121.42007	16.91942	10782.00000
113.37921	-38.79331	4132.00000
103.59083	-64.87048	5668.00000
111.62339	-46.41190	10643.00000
112.48166	-42.81471	5017.00000
312.31571	-60.89546	10639.00000
90.80160	-75.22052	7654.00000
61.97388	-81.50719	7295.00000
96.39100	-72.14194	6748.00000
309.72469	-55.30232	4487.00000
34.44895	-82.82949	10649.00000
108.78405	-55.54127	5451.00000
62.56228	-81.43858	365.00000
112.01392	-45.32634	5104.00000
34.59331	-82.83571	10216.00000
103.19730	-65.72187	5765.00000
316.56623	-67.27917	9510.00000
117.33648	-15.28427	4931.00000
111.02263	-48.96964	4920.00000
114.76568	-32.43303	7015.00000
106.13759	-61.45669	12028.00000
314.79495	-65.12339	6386.00000
91.73426	-75.03853	12286.00000
112.48766	-43.86896	4911.00000
314.75841	-65.14263	6340.00000
343.74456	-80.00191	7337.00000
105.58536	-63.64250	5095.00000
113.67170	-38.52978	5496.00000
112.91522	-42.27753	7424.00000
109.91089	-52.90286	5104.00000
112.93275	-42.25547	7470.00000
113.37401	-40.28848	5625.00000
101.75258	-67.90338	3372.00000
103.57573	-65.73690	11588.00000
111.73485	-47.09397	7278.00000
112.79073	-42.84889	4973.00000
106.19140	-61.84511	12845.00000
105.79247	-62.54495	9491.00000
104.64563	-64.41196	5704.00000
104.71396	-64.42166	5630.00000
109.62718	-54.36588	5362.00000
110.51370	-51.86589	11293.00000
92.43907	-75.03695	3197.00000
106.74420	-61.06711	4728.00000
315.45268	-66.42630	9786.00000
106.76230	-61.06190	5132.00000
106.03481	-62.40709	11602.00000
343.07836	-80.12075	7379.00000
343.03636	-80.12130	7238.00000
311.50002	-60.19921	6339.00000
60.19783	-82.05751	7486.00000
103.68025	-66.14919	5905.00000
113.19429	-42.26051	7353.00000
113.61457	-40.45284	5261.00000
105.54073	-63.65883	5086.00000
308.49697	-52.94044	1640.00000
112.72091	-44.57901	4895.00000
113.52834	-40.77620	5571.00000
311.63489	-60.70914	8890.00000
109.87628	-54.47623	11492.00000
114.55424	-35.86463	11328.00000
